Line,financial_period,period,line_period_ridership
Bakerloo,01_11/12,1,9324135.597436992
Bakerloo,01_12/13,1,8806112.335122824
Bakerloo,01_13/14,1,8988177.313879004
Bakerloo,01_14/15,1,8769839.906235635
Bakerloo,01_15/16,1,10814469.46376167
Bakerloo,01_16/17,1,9244429.750798257
Bakerloo,01_17/18,1,9761956.66435731
Bakerloo,01_18/19,1,9510693.03423124
Bakerloo,01_19/20,1,9823121.341969864
Bakerloo,01_21/22,1,3436714.2311289245
Bakerloo,01_22/23,1,7277747.710449723
Bakerloo,01_23/24,1,8408003.81097561
Bakerloo,02_11/12,2,8976525.27911149
Bakerloo,02_12/13,2,9193303.29461526
Bakerloo,02_13/14,2,9485893.972953737
Bakerloo,02_14/15,2,9105622.064807722
Bakerloo,02_15/16,2,9710175.046687417
Bakerloo,02_16/17,2,8556359.235195937
Bakerloo,02_17/18,2,9901946.482679835
Bakerloo,02_18/19,2,9703663.617534483
Bakerloo,02_19/20,2,10365276.776185228
Bakerloo,02_21/22,2,3905357.080828323
Bakerloo,02_22/23,2,7360449.388977561
Bakerloo,02_23/24,2,8104764.3292682925
Bakerloo,03_11/12,3,9088987.440922683
Bakerloo,03_12/13,3,8905392.068326013
Bakerloo,03_13/14,3,9359025.02064057
Bakerloo,03_14/15,3,9698178.815229049
Bakerloo,03_15/16,3,10081446.445531348
Bakerloo,03_16/17,3,8434935.026560232
Bakerloo,03_17/18,3,9481977.027712265
Bakerloo,03_18/19,3,9593394.712789772
Bakerloo,03_19/20,3,11146348.164461596
Bakerloo,03_21/22,3,4465890.685370741
Bakerloo,03_22/23,3,6588567.056051075
Bakerloo,03_23/24,3,8288545.833333334
Bakerloo,04_11/12,4,9457045.425032036
Bakerloo,04_12/13,4,9620206.14738897
Bakerloo,04_13/14,4,9837223.379359432
Bakerloo,04_14/15,4,10132720.432204688
Bakerloo,04_15/16,4,9643536.59048466
Bakerloo,04_16/17,4,8831587.441436864
Bakerloo,04_17/18,4,10172593.464770049
Bakerloo,04_18/19,4,10016092.180977829
Bakerloo,04_19/20,4,12304171.634141859
Bakerloo,04_21/22,4,4557781.440213761
Bakerloo,04_22/23,4,7470718.293681344
Bakerloo,04_23/24,4,8646919.766260162
Bakerloo,05_11/12,5,8741377.12259718
Bakerloo,05_12/13,5,10225812.51992842
Bakerloo,05_13/14,5,9183360.317437723
Bakerloo,05_14/15,5,9609295.302665848
Bakerloo,05_15/16,5,9005711.3668297
Bakerloo,05_16/17,5,8183991.662046443
Bakerloo,05_17/18,5,9425981.100383256
Bakerloo,05_18/19,5,9225831.696974073
Bakerloo,05_19/20,5,12111201.055861816
Bakerloo,05_21/22,5,4741562.9498998
Bakerloo,05_22/23,5,6790726.714674678
Bakerloo,05_23/24,5,7957739.12601626
Bakerloo,06_11/12,6,8720929.456813328
Bakerloo,06_12/13,6,9332294.921099724
Bakerloo,06_13/14,6,8880826.661921708
Bakerloo,06_14/15,6,9204381.523211276
Bakerloo,06_15/16,6,9291304.750555802
Bakerloo,06_16/17,6,7997807.875471698
Bakerloo,06_17/18,6,8996678.99086085
Bakerloo,06_18/19,6,8959348.510507692
Bakerloo,06_19/20,6,12469574.986953326
Bakerloo,06_21/22,6,5348041.931863727
Bakerloo,06_22/23,6,7314504.012017651
Bakerloo,06_23/24,6,7691255.9451219505
Bakerloo,07_11/12,7,9518388.422383597
Bakerloo,07_12/13,7,9749269.800553117
Bakerloo,07_13/14,7,9895778.280427046
Bakerloo,07_14/15,7,10280859.61981002
Bakerloo,07_15/16,7,10633593.654068476
Bakerloo,07_16/17,7,8936821.755587807
Bakerloo,07_17/18,7,10135262.846550707
Bakerloo,07_18/19,7,10098793.859536361
Bakerloo,07_19/20,7,13939827.01194414
Bakerloo,07_21/22,7,6404785.612558451
Bakerloo,07_22/23,7,8104764.495728101
Bakerloo,07_23/24,7,8582596.239837397
Bakerloo,08_11/12,8,9794431.910465613
Bakerloo,08_12/13,8,9967685.213600129
Bakerloo,08_13/14,8,10120238.734519573
Bakerloo,08_14/15,8,10725277.182626016
Bakerloo,08_15/16,8,10728791.448643843
Bakerloo,08_16/17,8,9114910.594920175
Bakerloo,08_17/18,8,10321915.937647406
Bakerloo,08_18/19,8,10356087.970607352
Bakerloo,08_19/20,8,13507940.479603088
Bakerloo,08_21/22,8,6772348.631930528
Bakerloo,08_22/23,8,8049630.043376208
Bakerloo,08_23/24,8,8803134.044715447
Bakerloo,09_11/12,9,9927341.738060659
Bakerloo,09_12/13,9,10116604.813404912
Bakerloo,09_13/14,9,10373976.639145907
Bakerloo,09_14/15,9,10982051.774475256
Bakerloo,09_15/16,9,10852548.581591818
Bakerloo,09_16/17,9,9446803.431857767
Bakerloo,09_17/18,9,10741885.392614976
Bakerloo,09_18/19,9,10861487.117353939
Bakerloo,09_19/20,9,13746856.433664095
Bakerloo,09_21/22,9,6965319.217100868
Bakerloo,09_22/23,9,8738810.697774857
Bakerloo,09_23/24,9,9354478.556910569
Bakerloo,10_11/12,10,8107499.483297735
Bakerloo,10_12/13,10,7843098.9230518965
Bakerloo,10_13/14,10,8187926.999288257
Bakerloo,10_14/15,10,8592072.88110924
Bakerloo,10_15/16,10,8129891.656736327
Bakerloo,10_16/17,10,7204503.045718432
Bakerloo,10_17/18,10,8184738.0445902115
Bakerloo,10_18/19,10,8444760.28836571
Bakerloo,10_19/20,10,10107982.671811834
Bakerloo,10_21/22,10,4171840.2698730794
Bakerloo,10_22/23,10,6294516.643507652
Bakerloo,10_23/24,10,7489096.290650407
Bakerloo,11_11/12,11,9181001.936950022
Bakerloo,11_12/13,11,9103951.53473239
Bakerloo,11_13/14,11,9446857.372241993
Bakerloo,11_14/15,11,9895697.732036157
Bakerloo,11_15/16,11,10167124.460649177
Bakerloo,11_16/17,11,8248751.2399854865
Bakerloo,11_17/18,11,9845950.555350825
Bakerloo,11_18/19,11,9804743.446883801
Bakerloo,11_19/20,11,11265806.141492099
Bakerloo,11_21/22,11,5531823.441549766
Bakerloo,11_22/23,11,7829092.233968642
Bakerloo,11_23/24,11,8012873.577235772
Bakerloo,12_11/12,12,9354807.096112773
Bakerloo,12_12/13,12,9600350.200748334
Bakerloo,12_13/14,12,9202878.617793595
Bakerloo,12_14/15,12,10438874.753255706
Bakerloo,12_15/16,12,10405118.947087595
Bakerloo,12_16/17,12,8766827.863497823
Bakerloo,12_17/18,12,9827285.246241158
Bakerloo,12_18/19,12,10181495.538094895
Bakerloo,12_19/20,12,11578234.696802646
Bakerloo,12_21/22,12,6009655.366733468
Bakerloo,12_22/23,12,8251789.701999812
Bakerloo,12_23/24,12,8555029.014227642
Bakerloo,13_11/12,13,9477493.09081589
Bakerloo,13_12/13,13,9590422.227428013
Bakerloo,13_13/14,13,10442290.690391459
Bakerloo,13_14/15,13,11485725.012333384
Bakerloo,13_15/16,13,8996191.587372165
Bakerloo,13_16/17,13,8580644.076923078
Bakerloo,13_17/18,13,9827285.246241158
Bakerloo,13_18/19,13,10484735.026142847
Bakerloo,13_19/20,13,7654499.605108416
Bakerloo,13_21/22,13,6469109.140948564
Bakerloo,13_22/23,13,7801525.007792695
Bakerloo,13_23/24,13,8610163.465447156
Central,01_11/12,1,31505139.108415205
Central,01_12/13,1,30296171.137140065
Central,01_13/14,1,32252798.13380783
Central,01_14/15,1,30502780.272713345
Central,01_15/16,1,37569504.50629909
Central,01_16/17,1,38974013.40174165
Central,01_17/18,1,35647513.2474941
Central,01_18/19,1,34729979.08788907
Central,01_19/20,1,35870867.281024136
Central,01_21/22,1,12549769.916366067
Central,01_22/23,1,26575983.921885267
Central,01_23/24,1,30703314.89075203
Central,02_11/12,2,30330605.413583938
Central,02_12/13,2,31628246.305514883
Central,02_13/14,2,34038783.69822064
Central,02_14/15,2,31670679.51738931
Central,02_15/16,2,33733181.863050245
Central,02_16/17,2,36073145.50406386
Central,02_17/18,2,36158710.85620578
Central,02_18/19,2,35434645.330252044
Central,02_19/20,2,37850643.86622565
Central,02_21/22,2,14261102.17768871
Central,02_22/23,2,26877983.73917942
Central,02_23/24,2,29595982.222560976
Central,03_11/12,3,30710601.608970527
Central,03_12/13,3,30637728.87262079
Central,03_13/14,3,33583532.475919336
Central,03_14/15,3,33731678.18446453
Central,03_15/16,3,35022979.99310805
Central,03_16/17,3,35561227.63976778
Central,03_17/18,3,34625118.03007076
Central,03_18/19,3,35031978.906044625
Central,03_19/20,3,40702864.37032954
Central,03_21/22,3,16307989.784368737
Central,03_22/23,3,24059318.777767345
Central,03_23/24,3,30267092.93055556
Central,04_11/12,4,31954225.521144807
Central,04_12/13,4,33096944.56808199
Central,04_13/14,4,35299479.39074733
Central,04_14/15,4,35243077.20698636
Central,04_15/16,4,33501679.634578332
Central,04_16/17,4,37233492.66313498
Central,04_17/18,4,37147026.23304835
Central,04_18/19,4,36575533.53217303
Central,04_19/20,4,44930861.82347176
Central,04_21/22,4,16643545.12972612
Central,04_22/23,4,27280650.162238285
Central,04_23/24,4,31575758.81114499
Central,05_11/12,5,29536067.914139256
Central,05_12/13,5,35180446.754514396
Central,05_13/14,5,32953184.62965599
Central,05_14/15,5,33422528.384403244
Central,05_15/16,5,31285872.590632875
Central,05_16/17,5,34503264.053555876
Central,05_17/18,5,34420638.98658609
Central,05_18/19,5,33689757.49201993
Central,05_19/20,5,44226195.581281394
Central,05_21/22,5,17314655.82044088
Central,05_22/23,5,24797540.55337527
Central,05_23/24,5,29059093.656165313
