financial_period,financial_year,period,days,period_end,line,lch_network,ejt_network,operated_kms_network,pct_scheduled,lch_line,ejt_line,operated_kms_line
02_11/12,2011/2012,2.0,28.0,2011-05-28,Bakerloo,2322088.7800000003,5.901164470938982,5444365.0,0.9729019232645569,,0.5467210842198661,241014.38468241988
02_11/12,2011/2012,2.0,28.0,2011-05-28,Central,2322088.7800000003,5.901164470938982,5444365.0,0.9729019232645569,,0.6809994570161944,849802.9377864356
02_11/12,2011/2012,2.0,28.0,2011-05-28,Waterloo & City,2322088.7800000003,5.901164470938982,5444365.0,0.9729019232645569,,0.33429406946107676,23028.891535098744
02_11/12,2011/2012,2.0,28.0,2011-05-28,Circle & Hammersmith & City,2322088.7800000003,5.901164470938982,5444365.0,0.9729019232645569,,0.7836027415327236,254326.18832656965
02_11/12,2011/2012,2.0,28.0,2011-05-28,District,2322088.7800000003,5.901164470938982,5444365.0,0.9729019232645569,,0.6608796665424209,644653.5517413258
02_11/12,2011/2012,2.0,28.0,2011-05-28,Jubilee,2322088.7800000003,5.901164470938982,5444365.0,0.9729019232645569,,0.4145472104438016,704909.4902548124
02_11/12,2011/2012,2.0,28.0,2011-05-28,Metropolitan,2322088.7800000003,5.901164470938982,5444365.0,0.9729019232645569,,0.9662425846236797,512879.3987911969
02_11/12,2011/2012,2.0,28.0,2011-05-28,Northern,2322088.7800000003,5.901164470938982,5444365.0,0.9729019232645569,,0.3751521125550828,949910.8259475427
02_11/12,2011/2012,2.0,28.0,2011-05-28,Piccadilly,2322088.7800000003,5.901164470938982,5444365.0,0.9729019232645569,,0.6783355831484994,770374.058012664
02_11/12,2011/2012,2.0,28.0,2011-05-28,Victoria,2322088.7800000003,5.901164470938982,5444365.0,0.9729019232645569,,0.4603899613956359,493465.2729219339
03_11/12,2011/2012,3.0,28.0,2011-06-25,Bakerloo,1929444.7300000004,5.794825583974253,5463579.766320989,0.9761175534741723,,0.536869179250534,241864.9953746989
03_11/12,2011/2012,3.0,28.0,2011-06-25,Central,1929444.7300000004,5.794825583974253,5463579.766320989,0.9761175534741723,,0.6687278579717496,852802.1424445466
03_11/12,2011/2012,3.0,28.0,2011-06-25,Waterloo & City,1929444.7300000004,5.794825583974253,5463579.766320989,0.9761175534741723,,0.3282700958130852,23110.167270557024
03_11/12,2011/2012,3.0,28.0,2011-06-25,Circle & Hammersmith & City,1929444.7300000004,5.794825583974253,5463579.766320989,0.9761175534741723,,0.7694822329843758,255223.78029147332
03_11/12,2011/2012,3.0,28.0,2011-06-25,District,1929444.7300000004,5.794825583974253,5463579.766320989,0.9761175534741723,,0.6489706257922723,646928.7238421502
03_11/12,2011/2012,3.0,28.0,2011-06-25,Jubilee,1929444.7300000004,5.794825583974253,5463579.766320989,0.9761175534741723,,0.4070770765117588,707397.3232955239
03_11/12,2011/2012,3.0,28.0,2011-06-25,Metropolitan,1929444.7300000004,5.794825583974253,5463579.766320989,0.9761175534741723,,0.9488309090988227,514689.50112611044
03_11/12,2011/2012,3.0,28.0,2011-06-25,Northern,1929444.7300000004,5.794825583974253,5463579.766320989,0.9761175534741723,,0.3683918776407649,953263.3408039785
03_11/12,2011/2012,3.0,28.0,2011-06-25,Piccadilly,1929444.7300000004,5.794825583974253,5463579.766320989,0.9761175534741723,,0.6661119870674528,773092.9347787267
03_11/12,2011/2012,3.0,28.0,2011-06-25,Victoria,1929444.7300000004,5.794825583974253,5463579.766320989,0.9761175534741723,,0.4520937418434369,495206.8570932225
04_11/12,2011/2012,4.0,28.0,2011-07-23,Bakerloo,2300769.4899999998,6.220887054475132,5465179.73597701,0.9681048382367162,,0.5763422002523511,241935.82378208093
04_11/12,2011/2012,4.0,28.0,2011-07-23,Central,2300769.4899999998,6.220887054475132,5465179.73597701,0.9681048382367162,,0.7178957182297525,853051.8793585955
04_11/12,2011/2012,4.0,28.0,2011-07-23,Waterloo & City,2300769.4899999998,6.220887054475132,5465179.73597701,0.9681048382367162,,0.3524059800975722,23116.934915207585
04_11/12,2011/2012,4.0,28.0,2011-07-23,Circle & Hammersmith & City,2300769.4899999998,6.220887054475132,5465179.73597701,0.9681048382367162,,0.8260580051036078,255298.52072200176
04_11/12,2011/2012,4.0,28.0,2011-07-23,District,2300769.4899999998,6.220887054475132,5465179.73597701,0.9681048382367162,,0.6966858460573314,647118.1722206906
04_11/12,2011/2012,4.0,28.0,2011-07-23,Jubilee,2300769.4899999998,6.220887054475132,5465179.73597701,0.9681048382367162,,0.4370072021578958,707604.4794642689
04_11/12,2011/2012,4.0,28.0,2011-07-23,Metropolitan,2300769.4899999998,6.220887054475132,5465179.73597701,0.9681048382367162,,1.0185931972866369,514840.2242086489
