financial_period,financial_year,period,days,period_end,line,lch_network,ejt_network,operated_kms_network,pct_scheduled,lch_line,ejt_line,operated_kms_line,station_alloc_ridership,period_year,upgrade_year,train_upgrade_year,signalling_upgrade_year,post_upgrade,post_train_upgrade,post_signalling_upgrade
02_11/12,2011/2012,2.0,28.0,2011-05-28,Bakerloo,2322088.7800000003,5.901164470938982,5444365.0,0.9729019232645568,,0.5467210842198661,241014.38468241988,8976525.27911149,2011.0,,,,0,0,0
02_11/12,2011/2012,2.0,28.0,2011-05-28,Central,2322088.7800000003,5.901164470938982,5444365.0,0.9729019232645568,,0.6809994570161944,849802.9377864356,30330605.41358393,2011.0,,,,0,0,0
02_11/12,2011/2012,2.0,28.0,2011-05-28,Waterloo & City,2322088.7800000003,5.901164470938982,5444365.0,0.9729019232645568,,0.3342940694610767,23028.891535098744,6310114.439812047,2011.0,,,,0,0,0
02_11/12,2011/2012,2.0,28.0,2011-05-28,Circle & Hammersmith & City,2322088.7800000003,5.901164470938982,5444365.0,0.9729019232645568,,0.7836027415327236,254326.18832656965,,2011.0,2023.0,2017.0,2023.0,0,0,0
02_11/12,2011/2012,2.0,28.0,2011-05-28,District,2322088.7800000003,5.901164470938982,5444365.0,0.9729019232645568,,0.6608796665424209,644653.5517413258,38847016.46168304,2011.0,2023.0,2017.0,2023.0,0,0,0
02_11/12,2011/2012,2.0,28.0,2011-05-28,Jubilee,2322088.7800000003,5.901164470938982,5444365.0,0.9729019232645568,,0.4145472104438016,704909.4902548124,11536868.917727469,2011.0,2011.0,2011.0,2011.0,1,1,1
02_11/12,2011/2012,2.0,28.0,2011-05-28,Metropolitan,2322088.7800000003,5.901164470938982,5444365.0,0.9729019232645568,,0.9662425846236796,512879.3987911969,23438515.44348569,2011.0,,2012.0,,0,0,0
02_11/12,2011/2012,2.0,28.0,2011-05-28,Northern,2322088.7800000003,5.901164470938982,5444365.0,0.9729019232645568,,0.3751521125550828,949910.8259475428,29452223.23417343,2011.0,2014.0,2014.0,2014.0,0,0,0
02_11/12,2011/2012,2.0,28.0,2011-05-28,Piccadilly,2322088.7800000003,5.901164470938982,5444365.0,0.9729019232645568,,0.6783355831484994,770374.058012664,19904541.890132423,2011.0,,,,0,0,0
02_11/12,2011/2012,2.0,28.0,2011-05-28,Victoria,2322088.7800000003,5.901164470938982,5444365.0,0.9729019232645568,,0.4603899613956359,493465.2729219339,8296153.74028193,2011.0,2016.0,2009.0,2016.0,0,1,0
03_11/12,2011/2012,3.0,28.0,2011-06-25,Bakerloo,1929444.7300000004,5.794825583974253,5463579.766320989,0.9761175534741724,,0.536869179250534,241864.9953746989,9088987.440922683,2011.0,,,,0,0,0
03_11/12,2011/2012,3.0,28.0,2011-06-25,Central,1929444.7300000004,5.794825583974253,5463579.766320989,0.9761175534741724,,0.6687278579717496,852802.1424445466,30710601.608970527,2011.0,,,,0,0,0
03_11/12,2011/2012,3.0,28.0,2011-06-25,Waterloo & City,1929444.7300000004,5.794825583974253,5463579.766320989,0.9761175534741724,,0.3282700958130852,23110.167270557024,6389170.543272106,2011.0,,,,0,0,0
03_11/12,2011/2012,3.0,28.0,2011-06-25,Circle & Hammersmith & City,1929444.7300000004,5.794825583974253,5463579.766320989,0.9761175534741724,,0.7694822329843758,255223.7802914733,,2011.0,2023.0,2017.0,2023.0,0,0,0
03_11/12,2011/2012,3.0,28.0,2011-06-25,District,1929444.7300000004,5.794825583974253,5463579.766320989,0.9761175534741724,,0.6489706257922723,646928.7238421502,39333710.28979069,2011.0,2023.0,2017.0,2023.0,0,0,0
03_11/12,2011/2012,3.0,28.0,2011-06-25,Jubilee,1929444.7300000004,5.794825583974253,5463579.766320989,0.9761175534741724,,0.4070770765117588,707397.3232955239,11681408.277744554,2011.0,2011.0,2011.0,2011.0,1,1,1
03_11/12,2011/2012,3.0,28.0,2011-06-25,Metropolitan,1929444.7300000004,5.794825583974253,5463579.766320989,0.9761175534741724,,0.9488309090988228,514689.5011261104,23732164.2702264,2011.0,,2012.0,,0,0,0
03_11/12,2011/2012,3.0,28.0,2011-06-25,Northern,1929444.7300000004,5.794825583974253,5463579.766320989,0.9761175534741724,,0.3683918776407649,953263.3408039784,29821214.641435284,2011.0,2014.0,2014.0,2014.0,0,0,0
03_11/12,2011/2012,3.0,28.0,2011-06-25,Piccadilly,1929444.7300000004,5.794825583974253,5463579.766320989,0.9761175534741724,,0.6661119870674528,773092.9347787267,20153915.421785563,2011.0,,,,0,0,0
03_11/12,2011/2012,3.0,28.0,2011-06-25,Victoria,1929444.7300000004,5.794825583974253,5463579.766320989,0.9761175534741724,,0.4520937418434369,495206.8570932225,8400091.885091841,2011.0,2016.0,2009.0,2016.0,0,1,0
04_11/12,2011/2012,4.0,28.0,2011-07-23,Bakerloo,2300769.49,6.220887054475132,5465179.73597701,0.9681048382367162,,0.5763422002523511,241935.82378208093,9457045.425032036,2011.0,,,,0,0,0
04_11/12,2011/2012,4.0,28.0,2011-07-23,Central,2300769.49,6.220887054475132,5465179.73597701,0.9681048382367162,,0.7178957182297525,853051.8793585955,31954225.521144807,2011.0,,,,0,0,0
04_11/12,2011/2012,4.0,28.0,2011-07-23,Waterloo & City,2300769.49,6.220887054475132,5465179.73597701,0.9681048382367162,,0.3524059800975722,23116.934915207585,6647899.609141392,2011.0,,,,0,0,0
04_11/12,2011/2012,4.0,28.0,2011-07-23,Circle & Hammersmith & City,2300769.49,6.220887054475132,5465179.73597701,0.9681048382367162,,0.8260580051036078,255298.52072200176,,2011.0,2023.0,2017.0,2023.0,0,0,0
04_11/12,2011/2012,4.0,28.0,2011-07-23,District,2300769.49,6.220887054475132,5465179.73597701,0.9681048382367162,,0.6966858460573314,647118.1722206906,40926526.45450662,2011.0,2023.0,2017.0,2023.0,0,0,0
04_11/12,2011/2012,4.0,28.0,2011-07-23,Jubilee,2300769.49,6.220887054475132,5465179.73597701,0.9681048382367162,,0.4370072021578958,707604.4794642689,12154446.18325502,2011.0,2011.0,2011.0,2011.0,1,1,1
04_11/12,2011/2012,4.0,28.0,2011-07-23,Metropolitan,2300769.49,6.220887054475132,5465179.73597701,0.9681048382367162,,1.0185931972866369,514840.2242086489,24693196.794105083,2011.0,,2012.0,,0,0,0
04_11/12,2011/2012,4.0,28.0,2011-07-23,Northern,2300769.49,6.220887054475132,5465179.73597701,0.9681048382367162,,0.3954776946051744,953542.4970503806,31028822.88338317,2011.0,2014.0,2014.0,2014.0,0,0,0
04_11/12,2011/2012,4.0,28.0,2011-07-23,Piccadilly,2300769.49,6.220887054475132,5465179.73597701,0.9681048382367162,,0.7150875168078286,773319.3294301885,20970046.979923107,2011.0,,,,0,0,0
04_11/12,2011/2012,4.0,28.0,2011-07-23,Victoria,2300769.49,6.220887054475132,5465179.73597701,0.9681048382367162,,0.4853336938769812,495351.8748249461,8740253.08628791,2011.0,2016.0,2009.0,2016.0,0,1,0
05_11/12,2011/2012,5.0,28.0,2011-08-20,Bakerloo,2059198.2199999995,5.31865485540355,5595331.57991197,0.971483834155695,,0.4927537206355473,247697.462941334,8741377.12259718,2011.0,,,,0,0,0
