line,financial_year,mdbf,escalator_availability,lift_availability,service_control_failures
Bakerloo,,3996.076923076923,,,
Bakerloo,,4963.7692307692305,,,
Bakerloo,,7569.692307692308,,,
Bakerloo,,9323.076923076924,,,
Bakerloo,,11101.76923076923,,,
Bakerloo,,11837.0,,,
Bakerloo,,12516.615384615385,,,
Bakerloo,,12264.153846153846,,,
Bakerloo,,11491.064772026204,,,
Bakerloo,,11491.607933391591,,,
Bakerloo,,9449.661120211496,,,
Bakerloo,,10644.667633219435,,,
Bakerloo,,10137.598957143246,,,
Central,,5146.846153846154,,,
Central,,8384.384615384615,,,
Central,,10387.538461538461,,,
Central,,9793.76923076923,,,
Central,,10768.076923076924,,,
Central,,13002.538461538461,,,
Central,,12700.153846153846,,,
Central,,11414.392046605913,,,
Central,,12170.134681992546,,,
Central,,9288.194877602464,,,
Central,,8797.046849280478,,,
Central,,8419.767229847881,,,
Central,,8786.86018039521,,,
Waterloo & City,,7644.692307692308,,,
Waterloo & City,,7503.923076923077,,,
Waterloo & City,,11966.875,,,
Waterloo & City,,16852.923076923078,,,
Waterloo & City,,9372.692307692309,,,
Waterloo & City,,9704.153846153846,,,
Waterloo & City,,9007.692307692309,,,
Waterloo & City,,10306.0,,,
Waterloo & City,,10797.431394844025,,,
Waterloo & City,,6496.772047972607,,,
Waterloo & City,,8185.170215766566,,,
Waterloo & City,,5198.39124029294,,,
Waterloo & City,,6956.883563177671,,,
Circle & Hammersmith & City,,4872.307692307692,,,
Circle & Hammersmith & City,,6655.538461538462,,,
Circle & Hammersmith & City,,7078.153846153846,,,
Circle & Hammersmith & City,,6549.923076923077,,,
Circle & Hammersmith & City,,6278.846153846154,,,
Circle & Hammersmith & City,,6134.461538461538,,,
Circle & Hammersmith & City,,8646.923076923076,,,
Circle & Hammersmith & City,,9015.615384615385,,,
Circle & Hammersmith & City,,8666.174844746529,,,
Circle & Hammersmith & City,,7402.0720478654985,,,
Circle & Hammersmith & City,,12593.542103608872,,,
Circle & Hammersmith & City,,21510.272056220172,,,
Circle & Hammersmith & City,,26632.786881402917,,,
District,,14778.307692307691,,,
District,,15200.76923076923,,,
District,,15763.692307692309,,,
District,,14784.76923076923,,,
District,,16115.615384615385,,,
District,,21024.23076923077,,,
District,,27345.23076923077,,,
District,,32710.76923076923,,,
District,,29811.2467486311,,,
District,,27486.88020041507,,,
District,,25258.849002646602,,,
District,,24872.662929868173,,,
District,,43492.85685790228,,,
Jubilee,,8382.846153846154,,,
Jubilee,,11831.153846153846,,,
Jubilee,,11001.538461538461,,,
Jubilee,,11610.846153846154,,,
Jubilee,,12121.615384615385,,,
Jubilee,,15722.923076923076,,,
Jubilee,,14698.615384615385,,,
Jubilee,,12635.461538461539,,,
Jubilee,,17876.94443227301,,,
Jubilee,,18363.43132856656,,,
Jubilee,,21546.601137077778,,,
Jubilee,,24345.56270884821,,,
Jubilee,,28265.210295600835,,,
Metropolitan,,6065.615384615385,,,
Metropolitan,,8050.076923076923,,,
Metropolitan,,10404.384615384615,,,
Metropolitan,,10919.23076923077,,,
Metropolitan,,12790.307692307691,,,
Metropolitan,,14695.923076923076,,,
Metropolitan,,12234.923076923076,,,
Metropolitan,,9829.692307692309,,,
Metropolitan,,14170.3212076947,,,
Metropolitan,,17092.387553056044,,,
Metropolitan,,20081.03860772238,,,
Metropolitan,,31007.761637690615,,,
Metropolitan,,41926.22147522614,,,
Northern,,6764.153846153846,,,
Northern,,6114.615384615385,,,
Northern,,6059.692307692308,,,
Northern,,6931.538461538462,,,
Northern,,11491.153846153846,,,
Northern,,15737.538461538461,,,
Northern,,19335.846153846152,,,
Northern,,25362.76923076923,,,
Northern,,28552.238030622248,,,
Northern,,20313.419658616967,,,
Northern,,32950.982260158504,,,
Northern,,35874.594902594596,,,
Northern,,37935.98897589614,,,
Piccadilly,,9698.923076923076,,,
Piccadilly,,14763.923076923076,,,
Piccadilly,,15178.692307692309,,,
Piccadilly,,18378.30769230769,,,
Piccadilly,,25212.46153846154,,,
Piccadilly,,28582.23076923077,,,
Piccadilly,,39953.61538461538,,,
Piccadilly,,33443.307692307695,,,
Piccadilly,,46668.65664996429,,,
Piccadilly,,58695.96655762139,,,
Piccadilly,,52182.27408640407,,,
Piccadilly,,36344.26625005408,,,
Piccadilly,,35787.863374621396,,,
Victoria,,6985.2307692307695,,,
Victoria,,10191.846153846154,,,
Victoria,,9885.461538461539,,,
Victoria,,12040.076923076924,,,
Victoria,,16850.46153846154,,,
Victoria,,13519.307692307691,,,
Victoria,,8173.0,,,
Victoria,,16272.076923076924,,,
Victoria,,28301.131415161068,,,
Victoria,,32745.63141110209,,,
Victoria,,24544.73715160392,,,
Victoria,,28858.127408082226,,,
Victoria,,48038.75527273544,,,
Bakerloo,2004/05,,0.9501351272878225,0.9799890906240162,99.0
Central,2004/05,,0.9453369452662724,0.9820322498273025,392.0
Waterloo & City,2004/05,,0.0,0.0,27.0
Circle & Hammersmith & City,2004/05,,0.8915341280739711,0.9856181924637258,210.0
District,2004/05,,0.8768526743108009,0.9686750138377618,411.0
Jubilee,2004/05,,0.980240387770936,0.9829482491687801,276.0
Metropolitan,2004/05,,0.9952480089297708,0.9870566239316239,378.0
Northern,2004/05,,0.8962749219877877,0.9693222655326403,659.0
Piccadilly,2004/05,,0.9421775603245038,0.9661437492902654,266.0
Victoria,2004/05,,0.9029431778286552,0.996267857142857,405.0
Bakerloo,2005/06,,0.970701683964184,0.9752034909534908,83.0
Central,2005/06,,0.9494666949871118,0.8355895205874373,483.0
Waterloo & City,2005/06,,0.0,0.0,30.0
Circle & Hammersmith & City,2005/06,,0.9367375741542407,0.9822004420476642,212.0
District,2005/06,,0.9885172089570239,0.9707399561344008,390.0
Jubilee,2005/06,,0.9669433816689222,0.982956365640495,250.0
Metropolitan,2005/06,,0.9838592419240568,0.9902304639804639,397.0
Northern,2005/06,,0.9363808272208592,0.9365390027359354,426.0
Piccadilly,2005/06,,0.9689827051678072,0.9843502698992558,224.0
Victoria,2005/06,,0.9371062064382377,0.9922763532763534,219.0
Bakerloo,2006/07,,0.9833334122330978,0.7969102543431887,112.0
Central,2006/07,,0.9737804500510177,0.8850846122556688,394.0
Waterloo & City,2006/07,,0.0,0.0,12.0
Circle & Hammersmith & City,2006/07,,0.9639195789106969,0.9450712385191292,250.0
District,2006/07,,0.954511476061611,0.9747270419100211,410.0
Jubilee,2006/07,,0.9547071783861156,0.9942718130658409,319.0
Metropolitan,2006/07,,0.9860487657084335,0.993553879618521,400.0
Northern,2006/07,,0.9588630039774009,0.962073086042444,543.0
Piccadilly,2006/07,,0.9582966308522084,0.9858194582297125,309.0
Victoria,2006/07,,0.9753622564740612,0.9760883283851964,358.0
Bakerloo,2007/08,,0.9540994494153016,0.9360036666103468,127.0
Central,2007/08,,0.9598426115773985,0.9841634468382139,436.0
Waterloo & City,2007/08,,0.0,0.0,21.0
Circle & Hammersmith & City,2007/08,,0.9777802372871068,0.9275872142762434,168.0
District,2007/08,,0.9417301845238916,0.9829081920179634,325.0
Jubilee,2007/08,,0.9586912244467963,0.9943715412420842,290.0
Metropolitan,2007/08,,0.9978471843311851,0.999238204677572,322.0
Northern,2007/08,,0.9447029626550587,0.9634989187345604,405.0
Piccadilly,2007/08,,0.9659447115949219,0.9912587735072735,293.0
Victoria,2007/08,,0.9819427359325935,0.9857371374515574,353.0
Bakerloo,2008/09,,0.956192982169057,0.9789410050324457,83.0
Central,2008/09,,0.8968607557717891,0.9825246466987076,365.0
Waterloo & City,2008/09,,0.0,0.0,51.0
Circle & Hammersmith & City,2008/09,,0.9694670334656128,0.988143517344625,233.0
District,2008/09,,0.9981027866597683,0.9886661680270095,389.0
Jubilee,2008/09,,0.9623330949854827,0.9929077122668416,246.0
Metropolitan,2008/09,,0.9958282942063851,0.9957684833839509,385.0
