line,financial_year,mdbf,escalator_availability,lift_availability,service_control_failures
Bakerloo,2004/05,,0.9501351272878223,0.9799890906240162,99.0
Central,2004/05,,0.9453369452662724,0.9820322498273024,392.0
Waterloo & City,2004/05,,0.0,0.0,27.0
Circle & Hammersmith & City,2004/05,,0.8915341280739711,0.9856181924637258,210.0
District,2004/05,,0.8768526743108009,0.9686750138377618,411.0
Jubilee,2004/05,,0.980240387770936,0.98294824916878,276.0
Metropolitan,2004/05,,0.9952480089297708,0.987056623931624,378.0
Northern,2004/05,,0.8962749219877877,0.9693222655326404,659.0
Piccadilly,2004/05,,0.9421775603245038,0.9661437492902654,266.0
Victoria,2004/05,,0.9029431778286552,0.996267857142857,405.0
Bakerloo,2005/06,,0.970701683964184,0.9752034909534908,83.0
Central,2005/06,,0.9494666949871118,0.8355895205874373,483.0
Waterloo & City,2005/06,,0.0,0.0,30.0
Circle & Hammersmith & City,2005/06,,0.9367375741542407,0.9822004420476642,212.0
District,2005/06,,0.988517208957024,0.9707399561344008,390.0
Jubilee,2005/06,,0.9669433816689222,0.982956365640495,250.0
Metropolitan,2005/06,,0.9838592419240568,0.990230463980464,397.0
Northern,2005/06,,0.9363808272208592,0.9365390027359354,426.0
Piccadilly,2005/06,,0.9689827051678072,0.9843502698992558,224.0
Victoria,2005/06,,0.9371062064382376,0.9922763532763534,219.0
Bakerloo,2006/07,,0.9833334122330978,0.7969102543431887,112.0
Central,2006/07,,0.9737804500510177,0.8850846122556688,394.0
Waterloo & City,2006/07,,0.0,0.0,12.0
Circle & Hammersmith & City,2006/07,,0.9639195789106968,0.9450712385191292,250.0
District,2006/07,,0.954511476061611,0.9747270419100212,410.0
Jubilee,2006/07,,0.9547071783861156,0.9942718130658408,319.0
Metropolitan,2006/07,,0.9860487657084336,0.993553879618521,400.0
Northern,2006/07,,0.9588630039774008,0.962073086042444,543.0
Piccadilly,2006/07,,0.9582966308522084,0.9858194582297124,309.0
Victoria,2006/07,,0.9753622564740612,0.9760883283851964,358.0
Bakerloo,2007/08,,0.9540994494153016,0.9360036666103468,127.0
Central,2007/08,,0.9598426115773984,0.984163446838214,436.0
Waterloo & City,2007/08,,0.0,0.0,21.0
Circle & Hammersmith & City,2007/08,,0.9777802372871068,0.9275872142762434,168.0
District,2007/08,,0.9417301845238916,0.9829081920179634,325.0
Jubilee,2007/08,,0.9586912244467964,0.9943715412420842,290.0
Metropolitan,2007/08,,0.9978471843311852,0.999238204677572,322.0
Northern,2007/08,,0.9447029626550588,0.9634989187345604,405.0
Piccadilly,2007/08,,0.965944711594922,0.9912587735072736,293.0
Victoria,2007/08,,0.9819427359325936,0.9857371374515574,353.0
Bakerloo,2008/09,,0.956192982169057,0.9789410050324456,83.0
Central,2008/09,,0.8968607557717891,0.9825246466987076,365.0
Waterloo & City,2008/09,,0.0,0.0,51.0
Circle & Hammersmith & City,2008/09,,0.9694670334656128,0.988143517344625,233.0
District,2008/09,,0.9981027866597684,0.9886661680270096,389.0
Jubilee,2008/09,,0.9623330949854828,0.9929077122668416,246.0
Metropolitan,2008/09,,0.9958282942063852,0.9957684833839509,385.0
Northern,2008/09,,0.9889720306717208,0.9494887494196768,344.0
Piccadilly,2008/09,,0.9510702654469728,0.9866516322254196,233.0
Victoria,2008/09,,0.97546441672971,0.9800986281607932,328.0
Bakerloo,2009/10,,0.9557557897676764,0.9375312231439914,146.0
Central,2009/10,,0.9270556858989906,0.976682474630944,356.0
Waterloo & City,2009/10,,0.0,0.0,35.0
Circle & Hammersmith & City,2009/10,,0.9601226546795428,0.9898004405221676,167.0
District,2009/10,,0.9743025441377527,0.9709685606166554,325.0
Jubilee,2009/10,,0.970859125090955,0.9916984273120848,215.0
Metropolitan,2009/10,,0.998347916038314,0.9867300553207096,410.0
Northern,2009/10,,0.9802643098105334,0.9513724214705944,307.0
Piccadilly,2009/10,,0.9416268375402304,0.96512648622737,217.0
Victoria,2009/10,,0.9582023620408252,0.9833594107465684,287.0
Bakerloo,2010/11,,0.8924256869542729,0.9325109362631508,94.0
Central,2010/11,,0.951772612899172,0.9623837049363596,505.0
Waterloo & City,2010/11,,0.0,0.0,19.0
Circle & Hammersmith & City,2010/11,,0.979941125407489,0.9664674268858332,178.0
District,2010/11,,0.9666793977460102,0.9539562109180904,402.0
Jubilee,2010/11,,0.9656064660358524,0.9899649420525414,908.0
Metropolitan,2010/11,,0.9965512721668128,0.9903995408750074,440.0
Northern,2010/11,,0.982064130985306,0.9622584869970002,323.0
Piccadilly,2010/11,,0.928570588710385,0.970155304190246,238.0
Victoria,2010/11,,0.9657243567611884,0.9421592759979656,394.0
Bakerloo,2011/12,,0.919347558971672,0.961248341788976,84.0
Central,2011/12,,0.9347548825682264,0.8891810270890536,441.0
Waterloo & City,2011/12,,0.0,0.0,25.0
Circle & Hammersmith & City,2011/12,,0.9783344952245876,0.9747218385174704,184.0
District,2011/12,,0.9816315968151054,0.8505495220542931,458.0
Jubilee,2011/12,,0.9638342842175738,0.9852120908964718,990.0
Metropolitan,2011/12,,0.9851272197180416,0.9836263996451272,435.0
Northern,2011/12,,0.9731893613089754,0.966982524697496,272.0
Piccadilly,2011/12,,0.9565066548008032,0.9701123697246008,298.0
Victoria,2011/12,,0.9710388389898348,0.9657785383523586,251.0
Bakerloo,2012/13,,0.9909842356652376,0.9815148201878492,75.0
Central,2012/13,,0.97920039805241,0.9802090555481532,462.0
Waterloo & City,2012/13,,0.0,0.0,21.0
Circle & Hammersmith & City,2012/13,,0.9894160655869908,0.9923087324096034,162.0
District,2012/13,,0.993462803322779,0.9830754930329648,473.0
Jubilee,2012/13,,0.9705611033268926,0.9729074283599236,664.0
Metropolitan,2012/13,,0.8688415657774263,0.9966434194172076,330.0
Northern,2012/13,,0.9731084011501672,0.955704224036138,233.0
Piccadilly,2012/13,,0.9728452540565868,0.9567941294406692,267.0
Victoria,2012/13,,0.9783209820345798,0.9582104918704836,164.0
Bakerloo,2013/14,,0.9870324023753017,0.880547798280696,91.0
Central,2013/14,,0.9598090247252749,0.9889674592648732,510.0
Waterloo & City,2013/14,,0.0,0.0,24.0
Circle & Hammersmith & City,2013/14,,0.9843041708892548,0.9969360723758998,197.0
District,2013/14,,0.9257644402472526,0.90331532048853,504.0
