Station,year,annual_entry_exit
Acton Town,2017,6040516
Aldgate,2017,8846940
Aldgate East,2017,13998292
Alperton,2017,3052230
Amersham,2017,2321692
Angel,2017,19198892
Archway,2017,9276684
Arnos Grove,2017,4612740
Arsenal,2017,2822292
Baker Street,2017,28784591
Balham,2017,14309410
Bank & Monument,2017,61796153
Barbican,2017,11827212
Barking,2017,18197474
Barkingside,2017,1620023
Barons Court,2017,7119692
Bayswater,2017,4714236
Becontree,2017,3637924
Belsize Park,2017,6238483
Bermondsey,2017,10641495
Bethnal Green,2017,15573304
Blackfriars,2017,14825714
Blackhorse Road,2017,8999728
Bond Street,2017,38802673
Borough,2017,5871328
Boston Manor,2017,2285827
Bounds Green,2017,6390179
Bow Road,2017,5657512
Brent Cross,2017,2524773
Brixton,2017,32841962
Bromley-by-Bow,2017,3750698
Buckhurst Hill,2017,2304550
Burnt Oak,2017,4488063
Caledonian Road,2017,5722818
Camden Town,2017,22505675
Canada Water,2017,15101314
Canary Wharf,2017,50913578
Canning Town,2017,13280181
Cannon Street,2017,9388205
Canons Park,2017,3074005
Chalfont & Latimer,2017,1667683
Chalk Farm,2017,5891708
Chancery Lane,2017,17481342
Charing Cross,2017,19465727
Chesham,2017,1133596
Chigwell,2017,498916
Chiswick Park,2017,2246490
Chorleywood,2017,750026
Clapham Common,2017,10485149
Clapham North,2017,6860362
Clapham South,2017,8647690
Cockfosters,2017,1934185
Colindale,2017,7140161
Colliers Wood,2017,6697001
Covent Garden,2017,17540949
Croxley,2017,1129125
Dagenham East,2017,2996749
Dagenham Heathway,2017,6079088
Debden,2017,2466210
Dollis Hill,2017,4257616
Ealing Broadway,2017,16794723
Ealing Common,2017,3193655
Earl's Court,2017,19990972
East Acton,2017,4079654
East Finchley,2017,7312275
East Ham,2017,14695682
East Putney,2017,6183244
Eastcote,2017,3007893
Edgware,2017,5282356
Edgware Road (Bak),2017,4623646
Edgware Road (Cir),2017,7148956
Elephant & Castle,2017,22102168
Elm Park,2017,3275938
Embankment,2017,22130101
Epping,2017,3973043
Euston,2017,43073653
Euston Square,2017,14127298
Fairlop,2017,1240554
Farringdon,2017,20136285
Finchley Central,2017,7200996
Finchley Road,2017,9627914
Finsbury Park,2017,31224849
Fulham Broadway,2017,9630340
Gants Hill,2017,6831034
Gloucester Road,2017,13836495
Golders Green,2017,8410556
Goldhawk Road,2017,2140068
Goodge Street,2017,7524287
Grange Hill,2017,669495
Great Portland Street,2017,8081276
Green Park,2017,39338161
Greenford,2017,4680897
Gunnersbury,2017,5705314
Hainault,2017,3803823
Hammersmith (Dis),2017,29305709
Hammersmith (H&C),2017,10847256
Hampstead,2017,4833471
Hanger Lane,2017,3892732
Harlesden,2017,3203123
Harrow & Wealdstone,2017,4833762
Harrow-on-the-Hill,2017,10964049
Hatton Cross,2017,3207508
Heathrow Terminal 4,2017,2289531
Heathrow Terminal 5,2017,4534733
Heathrow Terminals 123,2017,7813005
Hendon Central,2017,7804221
High Barnet,2017,4263940
High Street Kensington,2017,12762568
Highbury & Islington,2017,20091820
Highgate,2017,5873629
Hillingdon,2017,1812920
Holborn,2017,32538456
Holland Park,2017,3633574
Holloway Road,2017,6786382
Hornchurch,2017,2240897
Hounslow Central,2017,3947268
Hounslow East,2017,4044930
Hounslow West,2017,3521328
Hyde Park Corner,2017,5538477
Ickenham,2017,1174767
Kennington,2017,5579359
Kensal Green,2017,2694458
Kensington (Olympia),2017,2013231
Kentish Town,2017,8350575
Kenton,2017,2069780
Kew Gardens,2017,4372539
Kilburn,2017,8622103
Kilburn Park,2017,3366554
King's Cross St. Pancras,2017,97918279
Kingsbury,2017,5222483
Knightsbridge,2017,17207249
Ladbroke Grove,2017,5954918
Lambeth North,2017,3532790
Lancaster Gate,2017,6243768
Latimer Road,2017,2461652
Leicester Square,2017,36730405
Leyton,2017,13470556
Leytonstone,2017,10995907
Liverpool Street,2017,67740193
London Bridge,2017,69050668
Loughton,2017,3583861
Maida Vale,2017,3286879
Manor House,2017,8688099
Mansion House,2017,6405554
Marble Arch,2017,14001823
Marylebone,2017,13698392
Mile End,2017,15749656
Mill Hill East,2017,1384549
Moor Park,2017,937946
Moorgate,2017,26869763
Morden,2017,10408689
Mornington Crescent,2017,5083032
Neasden,2017,3843843
Newbury Park,2017,5526725
North Acton,2017,6788624
North Ealing,2017,827387
North Greenwich,2017,28148668
North Harrow,2017,1922309
North Wembley,2017,1774038
Northfields,2017,3988218
Northolt,2017,5180144
Northwick Park,2017,4523410
Northwood,2017,3037028
Northwood Hills,2017,2013001
Notting Hill Gate,2017,16342143
Oakwood,2017,2890857
Old Street,2017,26382078
Osterley,2017,2191283
Oval,2017,7356993
Oxford Circus,2017,84090585
Paddington,2017,48822510
Park Royal,2017,2024318
Parsons Green,2017,6760726
Perivale,2017,2511378
Piccadilly Circus,2017,40820299
Pimlico,2017,10971039
Pinner,2017,3425318
Plaistow,2017,6128691
Preston Road,2017,3627298
Putney Bridge,2017,5384507
Queen's Park,2017,5650175
Queensbury,2017,4645218
Queensway,2017,8523970
Ravenscourt Park,2017,3212253
Rayners Lane,2017,4324060
Redbridge,2017,2942241
Regent's Park,2017,3611762
Richmond,2017,8330548
Rickmansworth,2017,2707446
Roding Valley,2017,368413
Royal Oak,2017,2618054
Ruislip,2017,1986527
Ruislip Gardens,2017,1160819
Ruislip Manor,2017,2038493
Russell Square,2017,11449159
Seven Sisters,2017,18328023
Shepherd's Bush (Cen),2017,22617667
Shepherd's Bush (H&C),2017,3726903
Sloane Square,2017,17229373
Snaresbrook,2017,2926192
South Ealing,2017,3664179
South Harrow,2017,2218089
South Kensington,2017,33860299
South Kenton,2017,1205537
South Ruislip,2017,2024672
South Wimbledon,2017,4872696
South Woodford,2017,5278035
Southfields,2017,6033479
Southgate,2017,5588195
Southwark,2017,16706959
St. James's Park,2017,14289988
St. John's Wood,2017,7794856
St. Paul's,2017,17204583
Stamford Brook,2017,2691476
Stanmore,2017,3917004
Stepney Green,2017,6341140
Stockwell,2017,11697143
Stonebridge Park,2017,2535832
Stratford,2017,61990418
Sudbury Hill,2017,1883774
Sudbury Town,2017,1808387
Swiss Cottage,2017,7759319
Temple,2017,8946533
Theydon Bois,2017,953663
Tooting Bec,2017,8071822
Tooting Broadway,2017,16207071
Tottenham Court Road,2017,41334148
Tottenham Hale,2017,12470088
Totteridge & Whetstone,2017,2537890
Tower Hill,2017,21032731
Tufnell Park,2017,4112231
Turnham Green,2017,6155229
Turnpike Lane,2017,10738451
Upminster,2017,5519060
Upminster Bridge,2017,1145380
Upney,2017,2698064
Upton Park,2017,9593829
Uxbridge,2017,8383423
Vauxhall,2017,30833904
Victoria,2017,79359340
Walthamstow Central,2017,9594531
Wanstead,2017,2953396
Warren Street,2017,20110864
Warwick Avenue,2017,4268538
Waterloo,2017,91270641
Watford,2017,1858452
Wembley Central,2017,5927183
Wembley Park,2017,16583596
West Acton,2017,1717498
West Brompton,2017,5877152
West Finchley,2017,1685284
West Ham,2017,4407093
West Hampstead,2017,11798391
West Harrow,2017,1527550
West Kensington,2017,5232614
West Ruislip,2017,1718555
Westbourne Park,2017,4133956
Westminster,2017,25595405
White City,2017,8836322
Whitechapel,2017,13803686
Willesden Green,2017,8799173
Willesden Junction,2017,4680628
Wimbledon,2017,12613787
Wimbledon Park,2017,2184663
Wood Green,2017,12889415
Wood Lane,2017,3995888
Woodford,2017,5978701
Woodside Park,2017,3543131
Acton Town                         ,2016,6274649
Barbican                           ,2016,11973122
Aldgate                            ,2016,8009494
Aldgate East                       ,2016,13434630
Alperton                           ,2016,3174845
Amersham                           ,2016,2360700
Angel                              ,2016,20100806
Archway                            ,2016,9940993
Arnos Grove                        ,2016,4645869
Arsenal                            ,2016,3012524
Baker Street                       ,2016,29754860
Balham                             ,2016,14637993
Bond Street                        ,2016,39528650
Barking                            ,2016,15860320
Barkingside                        ,2016,1633262
Barons Court                       ,2016,7207423
Bayswater                          ,2016,4756028
Becontree                          ,2016,3545530
Belsize Park                       ,2016,6482865
Bethnal Green                      ,2016,16272340
Blackfriars                        ,2016,15449362
Blackhorse Road                    ,2016,8452553
Bank & Monument                    ,2016,64262200
Borough                            ,2016,5873875
Boston Manor                       ,2016,2322687
Bounds Green                       ,2016,6615420
Bow Road                           ,2016,5645547
Brent Cross                        ,2016,2493412
Bromley-by-Bow                     ,2016,3789045
Buckhurst Hill                     ,2016,2188937
Burnt Oak                          ,2016,4519973
Caledonian Road                    ,2016,5725549
Camden Town                        ,2016,22884901
Cannon Street                      ,2016,8983249
Canons Park                        ,2016,2925484
Chalfont & Latimer                 ,2016,1488465
Chalk Farm                         ,2016,5608603
Chancery Lane                      ,2016,18189655
Embankment                         ,2016,26844711
Chesham                            ,2016,1069954
Chigwell                           ,2016,531799
Chiswick Park                      ,2016,2292764
Chorleywood                        ,2016,1070254
Clapham Common                     ,2016,10043328
Clapham North                      ,2016,6903645
Clapham South                      ,2016,8797066
Cockfosters                        ,2016,2040080
Colindale                          ,2016,6227278
Colliers Wood                      ,2016,6715162
Covent Garden                      ,2016,17188811
Croxley                            ,2016,1078029
Dagenham East                      ,2016,2976440
Dagenham Heathway                  ,2016,6043690
Debden                             ,2016,2469953
Dollis Hill                        ,2016,4180094
Ealing Broadway                    ,2016,18604788
Ealing Common                      ,2016,3177674
Earl's Court                       ,2016,19998114
East Acton                         ,2016,4122793
Eastcote                           ,2016,2943186
East Finchley                      ,2016,7470306
East Ham                           ,2016,14746847
