Station,year,annual_entry_exit
Acton Town,2014,6059017
Acton Town,2017,6040516
Acton Town,2018,6069886
Acton Town,2019,7156565
Acton Town,2020,7156565
Acton Town,2021,3281079
Acton Town,2022,4668907
Acton Town,2023,5176082
Acton Town                         ,2011,5462387
Acton Town                         ,2012,5584934
Acton Town                         ,2013,5748994
Acton Town                         ,2015,6235045
Acton Town                         ,2016,6274649
Aldgate,2014,7221566
Aldgate,2017,8846940
Aldgate,2018,8889955
Aldgate,2019,10481505
Aldgate,2020,10481505
Aldgate,2021,4805468
Aldgate,2022,6838081
Aldgate,2023,7580890
Aldgate                            ,2011,6235513
Aldgate                            ,2012,6647283
Aldgate                            ,2013,6877712
Aldgate                            ,2015,7527810
Aldgate                            ,2016,8009494
Aldgate East,2014,12248009
Aldgate East,2017,13998292
Aldgate East,2018,14066353
Aldgate East,2019,16584624
Aldgate East,2020,16584624
Aldgate East,2021,7603572
Aldgate East,2022,10819725
Aldgate East,2023,11995053
Aldgate East                       ,2011,9157483
Aldgate East                       ,2012,10134021
Aldgate East                       ,2013,11663144
Aldgate East                       ,2015,12839311
Aldgate East                       ,2016,13434630
Alperton,2014,3171235
Alperton,2017,3052230
Alperton,2018,3067070
Alperton,2019,3616162
Alperton,2020,3616162
Alperton,2021,1657906
Alperton,2022,2359166
Alperton,2023,2615438
Alperton                           ,2011,2945259
Alperton                           ,2012,2893236
Alperton                           ,2013,2956888
Alperton                           ,2015,3205455
Alperton                           ,2016,3174845
Amersham,2014,2439993
Amersham,2017,2321692
Amersham,2018,2332980
Amersham,2019,2750649
Amersham,2020,2750649
Amersham,2021,1261093
Amersham,2022,1794510
Amersham,2023,1989444
Amersham                           ,2011,2099560
Amersham                           ,2012,2097954
Amersham                           ,2013,2041139
Amersham                           ,2015,2287149
Amersham                           ,2016,2360700
Angel,2014,19217171
Angel,2017,19198892
Angel,2018,19292239
Angel,2019,22746089
Angel,2020,22746089
Angel,2021,10428426
Angel,2022,14839434
Angel,2023,16451416
Angel                              ,2011,17775047
Angel                              ,2012,18578717
Angel                              ,2013,18930868
Angel                              ,2015,19756365
Angel                              ,2016,20100806
Archway,2014,8943726
Archway,2017,9276684
Archway,2018,9321788
Archway,2019,10990649
Archway,2020,10990649
Archway,2021,5038895
Archway,2022,7170244
Archway,2023,7949135
Archway                            ,2011,8081810
Archway                            ,2012,8059174
Archway                            ,2013,8169486
Archway                            ,2015,9794439
Archway                            ,2016,9940993
Arnos Grove,2014,4713904
Arnos Grove,2017,4612740
Arnos Grove,2018,4635168
Arnos Grove,2019,5464992
Arnos Grove,2020,5464992
Arnos Grove,2021,2505541
Arnos Grove,2022,3565333
Arnos Grove,2023,3952629
Arnos Grove                        ,2011,4159371
Arnos Grove                        ,2012,4155802
Arnos Grove                        ,2013,4479004
Arnos Grove                        ,2015,4550587
Arnos Grove                        ,2016,4645869
Arsenal,2014,2900614
Arsenal,2017,2822292
Arsenal,2018,2836014
Arsenal,2019,3343740
Arsenal,2020,3343740
Arsenal,2021,1533008
Arsenal,2022,2181439
Arsenal,2023,2418405
Arsenal                            ,2011,3067815
Arsenal                            ,2012,3017544
Arsenal                            ,2013,3091593
Arsenal                            ,2015,2802635
Arsenal                            ,2016,3012524
Baker Street,2014,32175422
Baker Street,2017,28784591
Baker Street,2018,28924545
Baker Street,2019,34102847
Baker Street,2020,34102847
Baker Street,2021,15635172
Baker Street,2022,22248525
Baker Street,2023,24665345
Baker Street                       ,2011,27017574
Baker Street                       ,2012,27744272
Baker Street                       ,2013,28097997
Baker Street                       ,2015,29379132
Baker Street                       ,2016,29754860
Balham,2014,13471439
Balham,2017,14309410
Balham,2018,14378984
Balham,2019,16953224
Balham,2020,16953224
Balham,2021,7772564
Balham,2022,11060198
Balham,2023,12261648
Balham                             ,2011,11459978
Balham                             ,2012,11904117
Balham                             ,2013,12051320
Balham                             ,2015,14178948
Balham                             ,2016,14637993
Bank & Monument,2014,52306067
Bank & Monument,2017,61796153
Bank & Monument,2018,62096613
Bank & Monument,2019,73213643
Bank & Monument,2020,73213643
Bank & Monument,2021,33566343
Bank & Monument,2022,47764211
Bank & Monument,2023,52952756
Bank & Monument                    ,2011,47804941
Bank & Monument                    ,2012,47749950
Bank & Monument                    ,2013,48884756
Bank & Monument                    ,2015,57512971
Bank & Monument                    ,2016,64262200
Barbican,2014,11444738
Barbican,2017,11827212
Barbican,2018,11884717
Barbican,2019,14012414
Barbican,2020,14012414
Barbican,2021,6424288
Barbican,2022,9141628
Barbican,2023,10134668
Barbican                           ,2011,9228704
Barbican                           ,2012,9850562
Barbican                           ,2013,10464425
Barbican                           ,2015,11283478
Barbican                           ,2016,11973122
Barking,2014,15592496
Barking,2017,18197474
Barking,2018,18285952
Barking,2019,21559649
Barking,2020,21559649
Barking,2021,9884477
Barking,2022,14065406
Barking,2023,15593307
Barking                            ,2011,13955938
Barking                            ,2012,14514735
Barking                            ,2013,15224058
Barking                            ,2015,16055212
Barking                            ,2016,15860320
Barkingside,2014,1351966
Barkingside,2017,1620023
Barkingside,2018,1627900
Barkingside,2019,1919339
Barkingside,2020,1919339
Barkingside,2021,879962
Barkingside,2022,1252167
Barkingside,2023,1388188
Barkingside                        ,2011,1156751
Barkingside                        ,2012,1118756
Barkingside                        ,2013,1241272
Barkingside                        ,2015,1406286
Barkingside                        ,2016,1633262
Barons Court,2014,7500664
Barons Court,2017,7119692
Barons Court,2018,7154309
Barons Court,2019,8435130
Barons Court,2020,8435130
Barons Court,2021,3867264
Barons Court,2022,5503036
Barons Court,2023,6100822
Barons Court                       ,2011,6535580
Barons Court                       ,2012,6809659
Barons Court                       ,2013,7155458
Barons Court                       ,2015,7295186
Barons Court                       ,2016,7207423
Bayswater,2014,5691226
Bayswater,2017,4714236
Bayswater,2018,4737157
Bayswater,2019,5585241
Bayswater,2020,5585241
Bayswater,2021,2560672
Bayswater,2022,3643783
Bayswater,2023,4039601
Bayswater                          ,2011,5100938
Bayswater                          ,2012,5541858
Bayswater                          ,2013,5493688
Bayswater                          ,2015,5219590
Bayswater                          ,2016,4756028
Becontree,2014,3395647
Becontree,2017,3637924
Becontree,2018,3655612
Becontree,2019,4310069
Becontree,2020,4310069
Becontree,2021,1976042
Becontree,2022,2811867
Becontree,2023,3117315
Becontree                          ,2011,2759530
Becontree                          ,2012,2837652
Becontree                          ,2013,3039868
Becontree                          ,2015,3490288
Becontree                          ,2016,3545530
Belsize Park,2014,5927817
Belsize Park,2017,6238483
Belsize Park,2018,6268815
Belsize Park,2019,7391108
Belsize Park,2020,7391108
Belsize Park,2021,3388610
Belsize Park,2022,4821922
Belsize Park,2023,5345719
Belsize Park                       ,2011,5747717
Belsize Park                       ,2012,5806568
Belsize Park                       ,2013,5842725
Belsize Park                       ,2015,6155599
Belsize Park                       ,2016,6482865
Bermondsey,2014,9379438
Bermondsey,2017,10641495
Bermondsey,2018,10693235
Bermondsey,2019,12607623
Bermondsey,2020,12607623
Bermondsey,2021,5780232
Bermondsey,2022,8225150
Bermondsey,2023,9118634
Bermondsey                         ,2011,7379858
Bermondsey                         ,2012,7999518
Bermondsey                         ,2013,8639504
Bermondsey                         ,2015,10163683
Bermondsey                         ,2016,11068171
Bethnal Green,2014,16076636
Bethnal Green,2017,15573304
Bethnal Green,2018,15649023
Bethnal Green,2019,18450636
Bethnal Green,2020,18450636
Bethnal Green,2021,8459084
Bethnal Green,2022,12037102
Bethnal Green,2023,13344672
Bethnal Green                      ,2011,15086509
Bethnal Green                      ,2012,15055906
Bethnal Green                      ,2013,15272389
Bethnal Green                      ,2015,16164737
Bethnal Green                      ,2016,16272340
Blackfriars,2014,13142562
Blackfriars,2017,14825714
Blackfriars,2018,14897798
Blackfriars,2019,17564921
Blackfriars,2020,17564921
Blackfriars,2021,8053009
Blackfriars,2022,11459266
Blackfriars,2023,12704066
Blackfriars                        ,2011,0
Blackfriars                        ,2012,9282172
Blackfriars                        ,2013,12087967
Blackfriars                        ,2015,13702647
Blackfriars                        ,2016,15449362
Blackhorse Road,2014,8633193
Blackhorse Road,2017,8999728
Blackhorse Road,2018,9043486
Blackhorse Road,2019,10662522
Blackhorse Road,2020,10662522
Blackhorse Road,2021,4888459
Blackhorse Road,2022,6956176
Blackhorse Road,2023,7711813
Blackhorse Road                    ,2011,6468586
Blackhorse Road                    ,2012,7304059
Blackhorse Road                    ,2013,7898300
Blackhorse Road                    ,2015,8360092
Blackhorse Road                    ,2016,8452553
Bond Street,2014,19799777
Bond Street,2017,38802673
Bond Street,2018,38991336
Bond Street,2019,45971875
Bond Street,2020,45971875
Bond Street,2021,21076778
Bond Street,2022,29991819
Bond Street,2023,33249780
Bond Street                        ,2011,36022087
Bond Street                        ,2012,38065150
Bond Street                        ,2013,39648205
Bond Street                        ,2015,37119274
Bond Street                        ,2016,39528650
Borough,2014,5309004
Borough,2017,5871328
