Station,year,financial_period,period,station_period_ridership
Acton Town,2014,01_14/15,1,412165.3972728665
Acton Town,2014,02_14/15,2,427946.50482610695
Acton Town,2014,03_14/15,3,455795.51815535466
Acton Town,2014,04_14/15,4,476218.12793013634
Acton Town,2014,05_14/15,5,451618.16615596745
Acton Town,2014,06_14/15,6,432588.0070476482
Acton Town,2014,07_14/15,7,483180.3812624483
Acton Town,2014,08_14/15,8,504067.1412593841
Acton Town,2014,09_14/15,9,516135.04703539144
Acton Town,2014,10_14/15,10,403810.6932740923
Acton Town,2014,11_14/15,11,465078.52259843727
Acton Town,2014,12_14/15,12,490606.78481691435
Acton Town,2014,13_14/15,13,539806.708365252
Acton Town,2017,01_17/18,1,465682.46874999994
Acton Town,2017,02_17/18,2,472360.515625
Acton Town,2017,03_17/18,3,452326.375
Acton Town,2017,04_17/18,4,485271.40625
Acton Town,2017,05_17/18,5,449655.15625000006
Acton Town,2017,06_17/18,6,429175.8125
Acton Town,2017,07_17/18,7,483490.59375
Acton Town,2017,08_17/18,8,492394.65625
Acton Town,2017,09_17/18,9,512428.796875
Acton Town,2017,10_17/18,10,390443.14062499994
Acton Town,2017,11_17/18,11,469689.296875
Acton Town,2017,12_17/18,12,468798.890625
Acton Town,2017,13_17/18,13,468798.890625
Acton Town,2018,01_18/19,1,453696.25261789554
Acton Town,2018,02_18/19,2,462901.6838304326
Acton Town,2018,03_18/19,3,457641.43742326857
Acton Town,2018,04_18/19,4,477805.71531739726
Acton Town,2018,05_18/19,5,440107.2827327218
Acton Town,2018,06_18/19,6,427395.0205820755
Acton Town,2018,07_18/19,7,481750.9001227703
Acton Town,2018,08_18/19,8,494024.808406153
Acton Town,2018,09_18/19,9,518134.2711056546
Acton Town,2018,10_18/19,10,402847.20401531016
Acton Town,2018,11_18/19,11,467723.576370333
Acton Town,2018,12_18/19,12,485696.0849281433
Acton Town,2018,13_18/19,13,500161.76254784426
Acton Town,2019,01_19/20,1,443614.098983217
Acton Town,2019,02_19/20,2,465093.4377679775
Acton Town,2019,03_19/20,3,473422.1609702316
Acton Town,2019,04_19/20,4,489641.25352198945
Acton Town,2019,05_19/20,5,451504.46833272086
Acton Town,2019,06_19/20,6,435723.7296337131
Acton Town,2019,07_19/20,7,491833.0227857405
Acton Town,2019,08_19/20,8,496654.9151659929
Acton Town,2019,09_19/20,9,515065.77698150196
Acton Town,2019,10_19/20,10,399778.7137081955
Acton Town,2019,11_19/20,11,463778.3762097268
Acton Town,2019,12_19/20,12,465531.7916207277
Acton Town,2019,13_19/20,13,266957.4963248805
Acton Town,2019,01_19/20,1,24986.169606762218
Acton Town,2019,02_19/20,2,29369.70813426436
Acton Town,2019,03_19/20,3,58301.06241577851
Acton Town,2019,04_19/20,4,97314.55531054758
Acton Town,2019,05_19/20,5,126245.90959206174
Acton Town,2019,06_19/20,6,159122.4485483278
Acton Town,2019,07_19/20,7,173149.77183633466
Acton Town,2019,08_19/20,8,147725.24837682224
Acton Town,2019,09_19/20,9,140711.58673281883
Acton Town,2019,10_19/20,10,82410.5243170403
Acton Town,2019,11_19/20,11,73643.44726203602
Acton Town,2019,12_19/20,12,86794.06284454245
Acton Town,2019,13_19/20,13,98191.26301604802
Acton Town,2021,01_21/22,1,163944.3615230461
Acton Town,2021,02_21/22,2,186300.41082164328
Acton Town,2021,03_21/22,3,213039.99919839678
Acton Town,2021,04_21/22,4,217423.53827655312
Acton Town,2021,05_21/22,5,226190.61643286573
Acton Town,2021,06_21/22,6,255121.9743486974
Acton Town,2021,07_21/22,7,305532.673747495
Acton Town,2021,08_21/22,8,323066.83006012026
Acton Town,2021,09_21/22,9,332272.2621242485
Acton Town,2021,10_21/22,10,199012.6741482966
Acton Town,2021,11_21/22,11,263889.05250501004
Acton Town,2021,12_21/22,12,286683.4557114229
Acton Town,2021,13_21/22,13,308601.1511022044
Acton Town,2022,01_22/23,1,347176.2598817012
Acton Town,2022,02_22/23,2,351121.4446530842
Acton Town,2022,03_22/23,3,314299.7201201765
Acton Town,2022,04_22/23,4,356381.69101492816
Acton Town,2022,05_22/23,5,323943.5051168904
Acton Town,2022,06_22/23,6,348929.6753356492
Acton Town,2022,07_22/23,7,386628.1075955309
Acton Town,2022,08_22/23,8,383997.9844146089
Acton Town,2022,09_22/23,9,416874.52417613374
Acton Town,2022,10_22/23,10,300272.3964885926
Acton Town,2022,11_22/23,11,373477.491690921
Acton Town,2022,12_22/23,12,393641.7694113229
Acton Town,2022,13_22/23,13,372162.4301004601
Acton Town,2023,01_23/24,1,401093.75254065037
Acton Town,2023,02_23/24,2,386628.0762195122
Acton Town,2023,03_23/24,3,395395.1527777778
Acton Town,2023,04_23/24,4,412490.95206639566
Acton Town,2023,05_23/24,5,379614.4149728998
Acton Town,2023,06_23/24,6,366902.1539634146
Acton Town,2023,07_23/24,7,409422.4752710027
Acton Town,2023,08_23/24,8,419942.96714092145
Acton Town,2023,09_23/24,9,446244.1968157182
Acton Town,2023,10_23/24,10,357258.36974932253
Acton Town,2023,11_23/24,11,382244.5379403794
Acton Town,2023,12_23/24,12,408107.41378726286
Acton Town,2023,13_23/24,13,410737.53675474256
Acton Town,2011,01_11/12,1,425604.18146091414
Acton Town,2011,02_11/12,2,409737.3589064502
Acton Town,2011,03_11/12,3,414870.7426740709
Acton Town,2011,04_11/12,4,431670.9077317385
Acton Town,2011,05_11/12,5,399003.920119607
Acton Town,2011,06_11/12,6,398070.5776164032
Acton Town,2011,07_11/12,7,434470.9352413498
Acton Town,2011,08_11/12,8,447071.0590346006
Acton Town,2011,09_11/12,9,453137.78530542506
Acton Town,2011,10_11/12,10,370070.3025202904
Acton Town,2011,11_11/12,11,419070.7839384878
Acton Town,2011,12_11/12,12,427004.19521571975
Acton Town,2011,13_11/12,13,432604.2502349423
Acton Town,2012,01_12/13,1,402947.49129656743
Acton Town,2012,02_12/13,2,420664.46103790466
Acton Town,2012,03_12/13,3,407490.3040507565
Acton Town,2012,04_12/13,4,440198.5558809175
Acton Town,2012,05_12/13,5,467909.7136814706
Acton Town,2012,06_12/13,6,427024.39889376936
Acton Town,2012,07_12/13,7,446104.2124613633
Acton Town,2012,08_12/13,8,456098.40052057913
Acton Town,2012,09_12/13,9,462912.6196518627
Acton Town,2012,10_12/13,10,358882.2075809338
Acton Town,2012,11_12/13,11,416575.9295591345
Acton Town,2012,12_12/13,12,439289.9933300798
Acton Town,2012,13_12/13,13,438835.71205466083
Acton Town,2013,01_13/14,1,418728.6258600237
Acton Town,2013,02_13/14,2,441915.55302491103
Acton Town,2013,03_13/14,3,436005.1598260182
Acton Town,2013,04_13/14,4,458282.7957295374
Acton Town,2013,05_13/14,5,427821.53847370506
Acton Town,2013,06_13/14,6,413727.523922499
Acton Town,2013,07_13/14,7,461010.66951364174
Acton Town,2013,08_13/14,8,471467.51901937526
Acton Town,2013,09_13/14,9,483288.30541716097
Acton Town,2013,10_13/14,10,381447.68414393044
Acton Town,2013,11_13/14,11,440096.9705021748
Acton Town,2013,12_13/14,12,428730.8297350732
Acton Town,2013,13_13/14,13,486470.8248319494
Acton Town,2015,01_15/16,1,524900.7796057507
Acton Town,2015,02_15/16,2,471301.7563361494
Acton Town,2015,03_15/16,3,489322.11760782567
Acton Town,2015,04_15/16,4,468067.3325181562
Acton Town,2015,05_15/16,5,437109.27597450715
Acton Town,2015,06_15/16,6,450971.09233733505
Acton Town,2015,07_15/16,7,516121.62924262637
Acton Town,2015,08_15/16,8,520742.2346969024
Acton Town,2015,09_15/16,9,526749.0217874611
Acton Town,2015,10_15/16,10,394599.70579516824
Acton Town,2015,11_15/16,11,493480.6625166741
Acton Town,2015,12_15/16,12,505032.17615236406
Acton Town,2015,13_15/16,13,436647.21542907954
Acton Town,2016,01_16/17,1,520003.56734397676
Acton Town,2016,02_16/17,2,481299.2738026125
Acton Town,2016,03_16/17,3,474469.10435413645
Acton Town,2016,04_16/17,4,496780.99121915817
Acton Town,2016,05_16/17,5,460353.4208272859
Acton Town,2016,06_16/17,6,449880.4943396226
Acton Town,2016,07_16/17,7,502700.4714078374
Acton Town,2016,08_16/17,8,512718.0532656023
Acton Town,2016,09_16/17,9,531387.1830914369
Acton Town,2016,10_16/17,10,405256.7206095791
Acton Town,2016,11_16/17,11,463996.17786647315
Acton Town,2016,12_16/17,12,493138.234179971
Acton Town,2016,13_16/17,13,482665.30769230775
Aldgate,2014,01_14/15,1,491247.9399417803
Aldgate,2014,02_14/15,2,510056.9826872989
Aldgate,2014,03_14/15,3,543249.4110617435
Aldgate,2014,04_14/15,4,567590.5252030028
Aldgate,2014,05_14/15,5,538270.5468055768
Aldgate,2014,06_14/15,6,515589.05408303963
Aldgate,2014,07_14/15,7,575888.6322966141
Aldgate,2014,08_14/15,8,600782.9535774476
Aldgate,2014,09_14/15,9,615166.3392063736
Aldgate,2014,10_14/15,10,481290.21142944694
Aldgate,2014,11_14/15,11,554313.5538532251
Aldgate,2014,12_14/15,12,584739.9465297993
Aldgate,2014,13_14/15,13,643379.9033246514
Aldgate,2017,01_17/18,1,682038.5642688678
Aldgate,2017,02_17/18,2,691819.2320165094
Aldgate,2017,03_17/18,3,662477.2287735849
Aldgate,2017,04_17/18,4,710728.522995283
Aldgate,2017,05_17/18,5,658564.9616745283
Aldgate,2017,06_17/18,6,628570.9139150943
Aldgate,2017,07_17/18,7,708120.3449292453
Aldgate,2017,08_17/18,8,721161.235259434
Aldgate,2017,09_17/18,9,750503.2385023584
Aldgate,2017,10_17/18,10,571843.0409787735
Aldgate,2017,11_17/18,11,687906.9649174528
Aldgate,2017,12_17/18,12,686602.875884434
Aldgate,2017,13_17/18,13,686602.875884434
Aldgate,2018,01_18/19,1,664483.5289232325
Aldgate,2018,02_18/19,2,677965.8034231241
Aldgate,2018,03_18/19,3,670261.6465660431
Aldgate,2018,04_18/19,4,699794.2478515202
Aldgate,2018,05_18/19,5,644581.1237091066
Aldgate,2018,06_18/19,6,625962.7446378276
Aldgate,2018,07_18/19,7,705572.3654943309
Aldgate,2018,08_18/19,8,723548.7314941864
Aldgate,2018,09_18/19,9,758859.4504224741
Aldgate,2018,10_18/19,10,590010.0126381165
Aldgate,2018,11_18/19,11,685027.9472087817
Aldgate,2018,12_18/19,12,711350.4831371417
Aldgate,2018,13_18/19,13,732536.9144941142
Aldgate,2019,01_19/20,1,649717.2032341051
Aldgate,2019,02_19/20,2,681175.842521132
Aldgate,2019,03_19/20,3,693374.0904079383
Aldgate,2019,04_19/20,4,717128.5731348768
Aldgate,2019,05_19/20,5,661273.4380742374
Aldgate,2019,06_19/20,6,638160.9683939728
Aldgate,2019,07_19/20,7,720338.638368247
Aldgate,2019,08_19/20,8,727400.7818816612
Aldgate,2019,09_19/20,9,754365.3298419699
Aldgate,2019,10_19/20,10,585515.8985667034
Aldgate,2019,11_19/20,11,679249.8033811098
Aldgate,2019,12_19/20,12,681817.855567806
Aldgate,2019,13_19/20,13,390985.9454244763
Aldgate,2019,01_19/20,1,36594.743660418964
Aldgate,2019,02_19/20,2,43014.87412715913
Aldgate,2019,03_19/20,3,85387.73520764425
Aldgate,2019,04_19/20,4,142526.89636163175
Aldgate,2019,05_19/20,5,184899.75744211688
Aldgate,2019,06_19/20,6,233050.73594266814
Aldgate,2019,07_19/20,7,253595.15343623667
Aldgate,2019,08_19/20,8,216358.39672914371
Aldgate,2019,09_19/20,9,206086.18798235944
Aldgate,2019,10_19/20,10,120698.45277471517
Aldgate,2019,11_19/20,11,107858.19184123483
Aldgate,2019,12_19/20,12,127118.58324145534
Aldgate,2019,13_19/20,13,143810.9224549798
Aldgate,2021,01_21/22,1,240112.89672678692
Aldgate,2021,02_21/22,2,272855.56446225784
Aldgate,2021,03_21/22,3,312018.3631262525
Aldgate,2021,04_21/22,4,318438.49405477627
Aldgate,2021,05_21/22,5,331278.75591182365
Aldgate,2021,06_21/22,6,373651.62004008016
Aldgate,2021,07_21/22,7,447483.1257181029
Aldgate,2021,08_21/22,8,473163.64943219774
Aldgate,2021,09_21/22,9,486645.9243820975
Aldgate,2021,10_21/22,10,291473.94415497663
Aldgate,2021,11_21/22,11,386491.8818971276
Aldgate,2021,12_21/22,12,419876.56272545096
Aldgate,2021,13_21/22,13,451977.2173680695
Aldgate,2022,01_22/23,1,508474.3359308985
Aldgate,2022,02_22/23,2,514252.45338465873
Aldgate,2022,03_22/23,3,460323.35714956344
Aldgate,2022,04_22/23,4,521956.6099896723
Aldgate,2022,05_22/23,5,474447.644258755
Aldgate,2022,06_22/23,6,511042.38813256973
Aldgate,2022,07_22/23,7,566255.5104685005
Aldgate,2022,08_22/23,8,562403.4321659938
Aldgate,2022,09_22/23,9,610554.4109473289
Aldgate,2022,10_22/23,10,439778.9395361938
Aldgate,2022,11_22/23,11,546995.1189559666
Aldgate,2022,12_22/23,12,576527.7192751855
Aldgate,2022,13_22/23,13,545069.0798047131
Aldgate,2023,01_23/24,1,587441.9334349593
Aldgate,2023,02_23/24,2,566255.5030487805
Aldgate,2023,03_23/24,3,579095.763888889
Aldgate,2023,04_23/24,4,604134.2725271003
Aldgate,2023,05_23/24,5,555983.2943766938
Aldgate,2023,06_23/24,6,537364.9161585366
Aldgate,2023,07_23/24,7,599640.1812330623
Aldgate,2023,08_23/24,8,615048.4942411925
Aldgate,2023,09_23/24,9,653569.2767615176
Aldgate,2023,10_23/24,10,523240.6292344174
Aldgate,2023,11_23/24,11,559835.3726287263
Aldgate,2023,12_23/24,12,597714.1421070461
Aldgate,2023,13_23/24,13,601566.2203590786
Aldgate,2011,01_11/12,1,485842.6190516873
Aldgate,2011,02_11/12,2,467730.0652712516
Aldgate,2011,03_11/12,3,473590.00914139254
Aldgate,2011,04_11/12,4,492768.0072618539
Aldgate,2011,05_11/12,5,455477.45536095684
Aldgate,2011,06_11/12,6,454412.01102093124
Aldgate,2011,07_11/12,7,495964.34028193075
Aldgate,2011,08_11/12,8,510347.8388722768
Aldgate,2011,09_11/12,9,517273.2270824434
Aldgate,2011,10_11/12,10,422448.6808201623
Aldgate,2011,11_11/12,11,478384.5086715079
